"current_path","current_tree","sha256","current_wheel","current_sdist","phase1_proposed_disposition","phase2_binding_disposition","phase3_action","destination_when_retained","deletion_prerequisite","deletion_proof","final_artifact_presence"
"cryptography_suite/__init__.py","cryptography_suite/","53a3e4a42ab4e73180a25e92b10b6c9b582081ae2d103282fb4c7cb0d4986dde","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/_key_files.py","cryptography_suite/","c1cf7e5e11fce8dce043b9b0fefd2a6fc182bb7c9aa497c6e1e8c71c518790ed","yes","yes","stable-core candidate","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/_mypy_crypto_checker.py","cryptography_suite/","9bc14fdc3bc350f1804f2ce2917a1489a5cc6d07e51ddac2bedf0cbda3545b39","yes","yes","test/tooling","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/aead.py","cryptography_suite/","4770580bfcf90c75fdd06099f50e833c1277fc6200973ca27e82bb3bef369078","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/aead_plugins.py","cryptography_suite/","d9085b285e86df41334ae6eef26bd5887d6328c99712375317e90a0cc6289ccd","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/asymmetric/__init__.py","cryptography_suite/","6b8204bdf09d63a5e5185a7e78971f6d83d8b221e71f04a6570eefda73f22912","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/asymmetric/bls.py","cryptography_suite/","345f0d5fa20e23704f2cf39c22d1b7f6351db42ce1a38591d03817ed5e351485","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/asymmetric/signatures.py","cryptography_suite/","2e3a1f1848b72347c247b9327c16088d373a070d5be303e10537b859baeed47c","yes","yes","move-to-labs","labs-external","deleted; no implementation port","none; Git history only","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/audit.py","cryptography_suite/","3b91acf25608eb2bb0e1e79867e09460ec789e46e210a3b0db65f1fe095f2631","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
"cryptography_suite/cli.py","cryptography_suite/","f068fea0c65c6031348d71855697ed61b97d17a19527e446b0bf7304ba4d3e9b","yes","yes","rewrite","stable-rewrite","deleted; no implementation port","new RFC-approved src/cryptography_suite skeleton responsibility","rollback checkpoint + SHA-256 + reference classification + artifact tests","source/reference checks and wheel/sdist negative allowlists pass","no"
