path,classification,area,tracked_type,distribution,disposition_rationale
.coveragerc,test/tooling,repository-root,no-extension,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/ISSUE_TEMPLATE/bug_report.md,documentation,ci,.md,source-checkout-only,Current documentation or governance material; audit claims before carrying forward.
.github/ISSUE_TEMPLATE/security_report.md,documentation,ci,.md,source-checkout-only,Current documentation or governance material; audit claims before carrying forward.
.github/PULL_REQUEST_TEMPLATE.md,documentation,ci,.md,source-checkout-only,Current documentation or governance material; audit claims before carrying forward.
.github/labels.json,test/tooling,ci,.json,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/build.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/docs.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/formal.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/fuzz.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/quality-gate.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/release.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.github/workflows/reproducibility.yml,test/tooling,ci,.yml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.gitignore,test/tooling,repository-root,no-extension,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
.pre-commit-config.yaml,test/tooling,repository-root,.yaml,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
API_CLI_CONTRACT.md,documentation,repository-root,.md,source-checkout-only,Current documentation or governance material; audit claims before carrying forward.
CHANGELOG.md,documentation,repository-root,.md,source-checkout-only,Current documentation or governance material; audit claims before carrying forward.
CONTRIBUTING.md,documentation,repository-root,.md,source-checkout-only,Current documentation or governance material; audit claims before carrying forward.
LICENSE,documentation,repository-root,no-extension,sdist-only,Current documentation or governance material; audit claims before carrying forward.
