"current_path","sha256","reference_classification","stable_artifact_before","phase3_deletion_or_replacement","retained_source_imports_after","stable_wheel_after","stable_sdist_after","deletion_proof"
"cryptography_suite/__init__.py","53a3e4a42ab4e73180a25e92b10b6c9b582081ae2d103282fb4c7cb0d4986dde","stable responsibility requiring rewrite","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/_key_files.py","c1cf7e5e11fce8dce043b9b0fefd2a6fc182bb7c9aa497c6e1e8c71c518790ed","stable responsibility requiring rewrite","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/_mypy_crypto_checker.py","9bc14fdc3bc350f1804f2ce2917a1489a5cc6d07e51ddac2bedf0cbda3545b39","tooling","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/aead.py","4770580bfcf90c75fdd06099f50e833c1277fc6200973ca27e82bb3bef369078","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/aead_plugins.py","d9085b285e86df41334ae6eef26bd5887d6328c99712375317e90a0cc6289ccd","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/asymmetric/__init__.py","6b8204bdf09d63a5e5185a7e78971f6d83d8b221e71f04a6570eefda73f22912","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/asymmetric/bls.py","345f0d5fa20e23704f2cf39c22d1b7f6351db42ce1a38591d03817ed5e351485","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/asymmetric/signatures.py","2e3a1f1848b72347c247b9327c16088d373a070d5be303e10537b859baeed47c","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/audit.py","3b91acf25608eb2bb0e1e79867e09460ec789e46e210a3b0db65f1fe095f2631","stable responsibility requiring rewrite","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/cli.py","f068fea0c65c6031348d71855697ed61b97d17a19527e446b0bf7304ba4d3e9b","stable responsibility requiring rewrite","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/codegen/__init__.py","076937eac36dd51049df05fe8ce26e4bb74dc832faf80c60785de9daf587aa74","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
"cryptography_suite/codegen/templates/README.md.j2","14fe0b2252eac0eecd4a81def9bacedbb13b51aa383126c7be3e43103a471e3c","labs","yes","deleted; implementation not ported","zero active stable-runtime imports","no","no","checkpoint def6fe31329ada2b112b09fff3f31ff1965a3ffb + SHA-256 + 48 local tests + 48 GitHub CPython 3.11 tests + 42 GitHub CPython 3.10 tests + 23/40-entry allowlists"
