path,current_role,wheel,sdist,proposed_disposition,v4_destination,rationale
cryptography_suite/__init__.py,Package initialization/export surface,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/_key_files.py,Runtime/support implementation,yes,yes,stable-core candidate,src/cryptography_suite/ (stable core; exact module decided in Phase 2),"Small reusable foundation candidate, subject to Phase 2 architecture and Phase 4 security validation."
cryptography_suite/_mypy_crypto_checker.py,Runtime/support implementation,yes,yes,test/tooling,"maintainer tooling, excluded from runtime API","Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
cryptography_suite/aead.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/aead_plugins.py,Runtime/support implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/asymmetric/__init__.py,Symmetric/KDF implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/asymmetric/bls.py,Symmetric/KDF implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/asymmetric/signatures.py,Symmetric/KDF implementation,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/audit.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/cli.py,Command-line implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/codegen/__init__.py,Package initialization/export surface,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/codegen/templates/README.md.j2,Executable-source code-generation template,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/codegen/templates/fastapi/app.py.j2,Executable-source code-generation template,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/codegen/templates/flask/app.py.j2,Executable-source code-generation template,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/codegen/templates/node/app.ts.j2,Executable-source code-generation template,yes,yes,move-to-labs,separately versioned labs package/repository,Outside the v4 stable envelope/provider/policy product boundary.
cryptography_suite/config.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/constants.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/core/__init__.py,Package initialization/export surface,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/core/errors.py,Runtime/support implementation,yes,yes,stable-core candidate,src/cryptography_suite/ (stable core; exact module decided in Phase 2),"Small reusable foundation candidate, subject to Phase 2 architecture and Phase 4 security validation."
cryptography_suite/core/logging.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
cryptography_suite/core/operations.py,Runtime/support implementation,yes,yes,rewrite,src/cryptography_suite/ (rewritten v4 architecture),"Relevant role, but current shape/API or source location does not meet the v4 architecture."
